COD,DISCIPLINA,DEPARTAMENTO,CRD,T,CAP,HORÁRIO,LOCAL,
BEZ0097,AS PLANTAS E A HUMANIDADE,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,2,25,3T12,CÉLULAS,
BEZ0097,AS PLANTAS E A HUMANIDADE,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,1,35,4N34,PAU D`ARCO,
BEZ0037,FILOGENIA VEGETAL,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,45,5T1234; 5M6,PAU-BRASIL,
BEZ0037,FILOGENIA VEGETAL,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,45,5N1234; 5T6,PAU-BRASIL,
BEZ0095,FORMA E FUNÇÃO VEGETAL I,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,45,2T3456,PAU-BRASIL,
BEZ0095,FORMA E FUNÇÃO VEGETAL I,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,2,35,2N1234,CARNAÚBA,
BEZ0096,FORMA E FUNÇÃO VEGETAL II,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,2,45,5T34,MULUNGÚ,
BEZ0096,FORMA E FUNÇÃO VEGETAL II,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,1,35,3N34,IMBURANA,saiu CATOLÉ
BEZ0092,FUNDAMENTOS DE GEOLOGIA E PALEONTOLOGIA,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,2,33,3N34; 5N1234,3 - QUIXABEIRA; 5 - MUSEU C. CASCUDO,
BEZ0092,FUNDAMENTOS DE GEOLOGIA E PALEONTOLOGIA,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,3,50,3M56; 5M3456,3 - IMBURANA; 5 - MUSEU C. CASCUDO,
BEZ0093,FUNGOS E ORGANISMOS FOTOSSINTETIZANTES,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,2,50,35T12,IMBURANA,
BEZ0093,FUNGOS E ORGANISMOS FOTOSSINTETIZANTES,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,35,35N34,CATOLÉ,saiu IMBURANA
BEZ0145,INTRODUÇÃO A PROJETOS NO R ,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",3,1,26,6M345,Labinfo,saiu MULUNGÚ - pedido departamento e-mail
BEZ0089,METAZOA I,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,1,55,4T12; 6T1234,PAU-BRASIL,
BEZ0089,METAZOA I,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,2,35,4N12; 6N1234,CATOLÉ,
BEZ0091,METAZOA II,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,1,50,26M56; 4M12,2 - MULUNGU; 4 e 6 - CARNAUBA,
BEZ0091,METAZOA II,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",6,2,35,24N12; 6N34,PAU D`ARCO,
BEZ0094,ORGANISMOS FOTOSSINTETIZANTES TERRESTRES,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,1,50,4M56,CARNAÚBA,
BEZ0094,ORGANISMOS FOTOSSINTETIZANTES TERRESTRES,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,2,35,6N12,PAU D`ARCO,
BEZ0088,PRINCÍPIOS DE SISTEMÁTICA E EVOLUÇÃO,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,1,50,3M34,MULUNGÚ,
BEZ0088,PRINCÍPIOS DE SISTEMÁTICA E EVOLUÇÃO,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",2,2,33,3N12,PAU-BRASIL,
BEZ0098,SISTEMÁTICA DE ANGIOSPERMAS,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,25,3M1234,UMBUZEIRO,
BEZ2006,SISTEMÁTICA E ECOLOGIA DE FUNGOS,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,15,4M2345,DNA,
BEZ0086,ZOOLOGIA DE INVERTEBRADOS PARA ECÓLOGOS,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,1,45,24T34,FAVELEIRA,
BEZ0086,ZOOLOGIA DE INVERTEBRADOS PARA ECÓLOGOS,"DEPT. BOTÂNICA, ECOLOGIA E ZOOLOGIA",4,2,45,24N34,CATOLÉ,
ECL0026,CONSERVAÇÃO E GESTÃO AMBIENTAL,DEPT. ECOLOGIA,5,1,25,6T3456; 7M5,LABORATÓRIO DE DIDÁTICO I,SAIU - CATOLÉ- MODIFICADO PELO DEPARTAMENTO - Laboratório Didático 1
ECL0003,ECOLOGIA DA RESTAURAÇÃO,DEPT. ECOLOGIA,4,1,40,4T1234,PAU D´ARCO,
ECL0003,ECOLOGIA DA RESTAURAÇÃO,DEPT. ECOLOGIA,4,2,40,4N1234,FAVELEIRA,
ECL0004,ECOLOGIA DE CAMPO,DEPT. ECOLOGIA,5,1,45,6T1234; 7M3,PAU D´ARCO,
ECL0004,ECOLOGIA DE CAMPO,DEPT. ECOLOGIA,5,2,45,6N1234; 7N1,CARNAUBA,
ECL0006,ECOLOGIA DE ECOSSISTEMAS,DEPT. ECOLOGIA,4,1,40,3T1234,LABORATÓRIO DE DIDÁTICO I,
ECL0006,ECOLOGIA DE ECOSSISTEMAS,DEPT. ECOLOGIA,4,2,40,3N1234,FAVELEIRA,
ECL0009,ECOLOGIA DE POPULAÇÕES,DEPT. ECOLOGIA,4,1,40,3T1234,UMBUZEIRO,
ECL0009,ECOLOGIA DE POPULAÇÕES,DEPT. ECOLOGIA,4,2,40,2N1234,MANDACARÚ,
ECL0023,ECOLOGIA ESTATÍSTICA II,DEPT. ECOLOGIA,4,1,40,6T1234,LABORATÓRIO DE DIDÁTICO I,
ECL0035,ECOLOGIA GERAL,DEPT. ECOLOGIA,2,1,45,3T34,FAVELEIRA,
ECL0035,ECOLOGIA GERAL,DEPT. ECOLOGIA,2,2,45,3N12,IMBURANA,
ECL0012,ECOLOGIA GLOBAL,DEPT. ECOLOGIA,4,1,40,6T2345,ANFITEATRO DOS PEIXES,
ECL0012,ECOLOGIA GLOBAL,DEPT. ECOLOGIA,4,2,40,5N1234,LABORATÓRIO DE DIDÁTICO I,
ECL0027,ECOLOGIA I,DEPT. ECOLOGIA,4,1,50,6M1234,PAU D´ARCO,
ECL0027,ECOLOGIA I,DEPT. ECOLOGIA,4,2,35,6N1234,LABORATÓRIO DE DIDÁTICO I,
ECL0028,ECOLOGIA II,DEPT. ECOLOGIA,4,1,50,4T1234,ANFITEATRO DOS PEIXES,
ECL0028,ECOLOGIA II,DEPT. ECOLOGIA,4,2,35,5N1234,ANFITEATRO DOS PEIXES,
ECL0014,ECOLOGIA MATEMÁTICA,DEPT. ECOLOGIA,4,1,45,2T2345,PAU D´ARCO,
ECL0014,ECOLOGIA MATEMÁTICA,DEPT. ECOLOGIA,4,2,45,5N1234; 7M2,ANFITEATRO DOS ANFÍBIOS,
ECL0013,ECONOMIA ECOLÓGICA,DEPT. ECOLOGIA,4,1,40,5T1234; 7M6,LABORATÓRIO DE DIDÁTICO I,SAIU - ANFIBIOS - MODIFICADO PELO DEPARTAMENTO - Laboratório Didático 1
