"ANF. RÉPTEIS (""B"")",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,DFS0108,DFS0108,DFS0108,DBG0014,DFS0108
8:55-9:45,DFS0108,DFS0108,DFS0108,DBG0014,DFS0108
9:45-10:35,DFS0108,DFS0108,DFS0108,DBG0014,DFS0108
10:50-11:40,DFS0108,DFS0108,DFS0108,,DFS0108
11:40-12:30,,,,,
13:00-13:50,,,DBF0506,,
13:50-14:40,DBG0202,DBG0070,DBF0506,,
14:55-15:45,DBG0202,DBG0070,DBF0506,,
15:45-16:35,,DBG0070,DBF0506,DBG0202,
16:50-17:40,,,,DBG0202,
17:40-18:30,,,,,
18:45-19:35,DBG0014,DBG0060,DMP0050,DBG0060,DBG0014
19:35-20:25,DBG0014,DBG0060,DMP0050,DBG0060,DBG0014
20:35-21:25,DBG0013,DBG0014,DBG0013,,
21:25-22:15,DBG0013,DBG0014,DBG0013,,
,,,,,
"ANF. ANFÍBIOS (""C"")",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,
8:55-9:45,DMP0119,DBG0071,DMP0119,,MOR0065
9:45-10:35,DMP0119,DBG0071,DMP0119,,MOR0065
10:50-11:40,,DBG0071,,,MOR0065
11:40-12:30,,,,,
13:00-13:50,MCL0026 ,,MCL0026 ,,
13:50-14:40,MCL0026 ,,MCL0026 ,,DBQ0105
14:55-15:45,DBQ0105,DBQ0105,DBQ0105,PEC2000,DBQ0105
15:45-16:35,DBQ0105,DBQ0105,DBQ0105,PEC2000,DBQ0105
16:50-17:40,DBQ0105,DBQ0105,DBQ0105,PEC2000,
17:40-18:30,,,,PEC2000,
18:45-19:35,FPE0087,ICE1044,PEC3000,ECL0014,
19:35-20:25,FPE0087,ICE1044,PEC3000,ECL0014,
20:35-21:25,FPE0087,,PEC3000,ECL0014,
21:25-22:15,FPE0087,,PEC3000,ECL0014,
,,,,,
"ANF. PEIXES (""D"")",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,,,DBQ0104
8:55-9:45,DBQ0104,DBG0147,ECL0021,DBG0147,DBQ0104
9:45-10:35,DBQ0104,DBG0147,ECL0021,DBG0147,DBQ0104
10:50-11:40,,,ECL0021,,DBQ0104
11:40-12:30,,,ECL0021,,
13:00-13:50,,,ECL0028,,
13:50-14:40,DBF0306,DMP0059,ECL0028,,ECL0012
14:55-15:45,DBF0306,DMP0059,ECL0028,,ECL0012
15:45-16:35,DBF0306,DMP0059,ECL0028,,ECL0012
16:50-17:40,DBF0306,ECO0419 ,,ECO0419 ,ECL0012
17:40-18:30,,ECO0419 ,,ECO0419 ,
18:45-19:35,PEC0182,,CAC0052,ECL0028,
19:35-20:25,PEC0182,,CAC0052,ECL0028,
20:35-21:25,PEC0182,,CAC0052,ECL0028,
21:25-22:15,PEC0182,,CAC0052,ECL0028,
,,,,,
SALA JUAZEIRO (Térreo; 2ª sala) - DBF,,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,CETO,,CETO,
7:50-8:40,,CETO,,CETO,
8:55-9:45,FPE0087,CETO,FIL0923,CETO,FIL0923
9:45-10:35,FPE0087,CETO,FIL0923,CETO,FIL0923
10:50-11:40,FPE0087,CETO,,CETO,
11:40-12:30,FPE0087,CETO,,CETO,
13:00-13:50,CETO,CETO,CETO,,CETO
13:50-14:40,CETO,CETO,CETO,DBF0030,CETO
14:55-15:45,CETO,CETO,CETO,DBF0030,CETO
15:45-16:35,CETO,CETO,CETO,DBF0030,CETO
16:50-17:40,DBF0030,DBF0030,CETO,DBF0030,CETO
17:40-18:30,DBF0030,DBF0030,CETO,,CETO
18:45-19:35,DBF0030,DBF0030,DBG0146,,DBG0146
19:35-20:25,DBF0030,DBF0030,DBG0146,,DBG0146
20:35-21:25,CETO,CETO,,,
21:25-22:15,CETO,CETO,,,
,,,,,
SALA MANDACARU (Térreo; 3ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,MOR0089,MOR0089,MOR0089,MOR0089,MOR0089
8:55-9:45,MOR0089,MOR0089,MOR0089,MOR0089,MOR0089
9:45-10:35,MOR0089,MOR0089,MOR0089,MOR0089,MOR0089
10:50-11:40,MOR0089,MOR0089,MOR0089,MOR0089,MOR0089
11:40-12:30,,,,,
13:00-13:50,,MOR0305,CAC0052,MOR0305,CAC0052
13:50-14:40,,MOR0305,CAC0052,MOR0305,CAC0052
14:55-15:45,PEC0182,MOR0305,MOR0028,MOR0305,
15:45-16:35,PEC0182,MOR0305,MOR0028,MOR0305,
16:50-17:40,PEC0182,MOR0305,MOR0028,MOR0305,
17:40-18:30,PEC0182,,,,
18:45-19:35,ECL0009,PEC0301,FPE0682,ECL0021,PEC0303
19:35-20:25,ECL0009,PEC0301,FPE0682,ECL0021,PEC0303
20:35-21:25,ECL0009,PEC0301,FPE0682,ECL0021,PEC0303
21:25-22:15,ECL0009,PEC0301,FPE0682,ECL0021,PEC0303
,,,,,
SALA UMBUZEIRO (Térreo; 4ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,MODULO II,BEZ0098,MODULO II,,MODULO II
7:50-8:40,MODULO II,BEZ0098,MODULO II,MOR0096,MODULO II
8:55-9:45,MODULO II,BEZ0098,MODULO II,MOR0096,MODULO II
9:45-10:35,MODULO II,BEZ0098,MODULO II,MOR0096,MODULO II
10:50-11:40,MODULO II,MOR0039,MODULO II,MOR0096,MODULO II
11:40-12:30,MODULO II,MOR0039,MODULO II,MOR0096,MODULO II
13:00-13:50,,ECL0009,,,
13:50-14:40,MOR0098,ECL0009,DOL0086,DBF0047,
14:55-15:45,MOR0098,ECL0009,DOL0086,DBF0047,
15:45-16:35,MOR0098,ECL0009,DOL0086,DBF0047,
16:50-17:40,,,DOL0086,DMP0086,
17:40-18:30,,,,DMP0086,
18:45-19:35,MOR0100,PEC0302,FPE0681,FPE2016,FPE0003
19:35-20:25,MOR0100,PEC0302,FPE0681,FPE2016,FPE0003
20:35-21:25,MOR0100,PEC0302,FPE0681,FPE2016,FPE0003
21:25-22:15,,PEC0302,FPE0681,FPE2016,FPE0003
,,,,,
SALA PAU-BRASIL  (1º andar - 1º sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,FPE2016,FPE0684,FPE2016,
7:50-8:40,,FPE2016,FPE0684,FPE2016,DOL0082
8:55-9:45,DBG0011,DBG0055,DBG0011,DBG0055,DOL0082
9:45-10:35,DBG0011,DBG0055,DBG0011,DBG0055,DBG0003
10:50-11:40,MOR0095,DBG0141,DBG0141,,DBG0003
11:40-12:30,MOR0095,DBG0141,DBG0141,BEZ0037,
13:00-13:50,,,BEZ0089,BEZ0037,BEZ0089
13:50-14:40,,DBG0003,BEZ0089,BEZ0037,BEZ0089
14:55-15:45,BEZ0095,DBG0003,,BEZ0037,BEZ0089
15:45-16:35,BEZ0095,DBG0003,,BEZ0037,BEZ0089
16:50-17:40,BEZ0095,,,,
17:40-18:30,BEZ0095,,,BEZ0037,
18:45-19:35,DBQ0029,BEZ0088,DBQ0029,BEZ0037,
19:35-20:25,DBQ0029,BEZ0088,DBQ0029,BEZ0037,
20:35-21:25,DMP0083,DBG0055,,BEZ0037,DBG0055
21:25-22:15,DMP0083,DBG0055,,BEZ0037,DBG0055
,,,,,
SALA PAU D´ARCO (1º andar; 2ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,ECL0027
7:50-8:40,,,,,ECL0027
8:55-9:45,DBG0059,DBG0013,DBG0059,DOL0130,ECL0027
9:45-10:35,DBG0059,DBG0013,DBG0059,DOL0130,ECL0027
10:50-11:40,DMP0118,,DMP0118,DBG0013,
11:40-12:30,DMP0118,,DMP0118,DBG0013,
13:00-13:50,,DBG0140,ECL0003,DBG0140,ECL0004
13:50-14:40,ECL0014,DBG0140,ECL0003,DBG0140,ECL0004
14:55-15:45,ECL0014,DMP0099,ECL0003,DMP0099,ECL0004
15:45-16:35,ECL0014,DMP0099,ECL0003,DMP0099,ECL0004
16:50-17:40,ECL0014,DBQ0029,,DBQ0029,
17:40-18:30,,DBQ0029,,DBQ0029,
18:45-19:35,BEZ0091,DBQ0030,BEZ0091,DBQ0030,BEZ0094
19:35-20:25,BEZ0091,DBQ0030,BEZ0091,DBQ0030,BEZ0094
20:35-21:25,,DBG0052,BEZ0097,,BEZ0091
21:25-22:15,,DBG0052,BEZ0097,,BEZ0091
,,,,,
SALA CARNAÚBA (1º andar; 3ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,BEZ0091,,
7:50-8:40,,,BEZ0091,,
8:55-9:45,DOL0130,DMP0039,DMP0091,DMP0040,DMP0091
9:45-10:35,DOL0130,DMP0039,DMP0091,DMP0040,DMP0091
