NOME,BLOCO,ANDAR,LOCALIZACAO
JUAZEIRO,NOVO,TÉRREO,2ª SALA
MANDACARU,NOVO,TÉRREO,3ª SALA
UMBUZEIRO,NOVO,TÉRREO,4ª SALA
PAU-BRASIL,NOVO,1º ANDAR,1ª SALA 
PAU D´ARCO,NOVO,1º ANDAR,2ª SALA 
CARNAÚBA,NOVO,1º ANDAR,3ª SALA 
MULUNGU,NOVO,1º ANDAR,4ª SALA
CATOLÉ,NOVO,1º ANDAR,5ª SALA
AROEIRA,NOVO,2º ANDAR,1ª SALA
IMBURANA,NOVO,2º ANDAR,2ª SALA
QUIXABEIRA,NOVO,2º ANDAR,3ª SALA
FAVELEIRA,NOVO,2º ANDAR,4ª SALA
JUCÁ,NOVO,2º ANDAR,5ª SALA
EPTÉLIOS (ST1),ANTIGO,TÉRREO,DMOR
EMBRIÕES (ST2),ANTIGO,TÉRREO,DMOR
CÉLULAS (S1A),ANTIGO,1º ANDAR,DMP
DNA,ANTIGO,1º ANDAR,DBEZ
"RÉPTEIS ""B""",ANTIGO,1º ANDAR,ANFITEATROS
"ANFÍBIOS ""C""",ANTIGO,1º ANDAR,ANFITEATROS
"PEIXES ""D""",ANTIGO,1º ANDAR,ANFITEATROS
ANF. DA BIOFÍSICA,ANTIGO,2º ANDAR,ANFITEATROS
SALA II-DBF,ANTIGO,2º ANDAR,DBF
SALA I - DFS,ANTIGO,2º ANDAR,DFS
SALA II - DFS,ANTIGO,2º ANDAR,DFS
